config_id,graph_id,run,k,runtime_ms,cycles,paths
4,9,3,2,0.0626707, 2,5757
4,9,4,2,0.069566, 2,5757
4,9,5,2,0.0519466, 2,5757
4,9,6,2,0.0575514, 2,5757
4,9,7,2,0.057075, 2,5757
4,9,8,2,0.0593069, 2,5757
4,9,9,2,0.0609143, 2,5757
0,0,0,3,0.0102696, 5,1923| 5695
0,0,1,3,0.00942183, 5,1923| 5695
0,0,2,3,0.0091188, 5,1923| 5695
0,0,3,3,0.00911975, 5,1923| 5695
0,0,4,3,0.00887442, 5,1923| 5695
0,0,5,3,0.00899649, 5,1923| 5695
0,0,6,3,0.00869799, 5,1923| 5695
0,0,7,3,0.00877857, 5,1923| 5695
0,0,8,3,0.00930643, 5,1923| 5695
0,0,9,3,0.00958896, 5,1923| 5695
0,1,0,3,0.00943398, 2,1923| 5669
0,1,1,3,0.00958419, 2,1923| 5669
0,1,2,3,0.00975966, 2,1923| 5669
0,1,3,3,0.00947237, 2,1923| 5669
0,1,4,3,0.00958109, 2,1923| 5669
0,1,5,3,0.00993991, 2,1923| 5669
0,1,6,3,0.00970984, 2,1923| 5669
0,1,7,3,0.00960684, 2,1923| 5669
0,1,8,3,0.0101838, 2,1923| 5669
0,1,9,3,0.0100372, 2,1923| 5669
0,2,0,3,0.0102103, 4,1920| 5759
0,2,1,3,0.0097928, 4,1920| 5759
0,2,2,3,0.00996089, 4,1920| 5759
0,2,3,3,0.010303, 4,1920| 5759
0,2,4,3,0.0101888, 4,1920| 5759
0,2,5,3,0.00988936, 4,1920| 5759
0,2,6,3,0.0092032, 4,1920| 5759
0,2,7,3,0.00954008, 4,1920| 5759
0,2,8,3,0.0094738, 4,1920| 5759
0,2,9,3,0.00960851, 4,1920| 5759
0,3,0,3,0.00934219, 0,1929| 5845
0,3,1,3,0.00914264, 0,1929| 5845
0,3,2,3,0.00901556, 0,1929| 5845
0,3,3,3,0.00912881, 0,1929| 5845
0,3,4,3,0.00898767, 0,1929| 5845
0,3,5,3,0.00875115, 0,1929| 5845
0,3,6,3,0.00894094, 0,1929| 5845
0,3,7,3,0.00857377, 0,1929| 5845
0,3,8,3,0.00848866, 0,1929| 5845
0,3,9,3,0.00833488, 0,1929| 5845
0,4,0,3,0.00837517, 2,1927| 5764
0,4,1,3,0.0083797, 2,1927| 5764
0,4,2,3,0.00872207, 2,1927| 5764
0,4,3,3,0.0103269, 2,1927| 5764
0,4,4,3,0.00896621, 2,1927| 5764
0,4,5,3,0.00904989, 2,1927| 5764
0,4,6,3,0.00907874, 2,1927| 5764
0,4,7,3,0.00890779, 2,1927| 5764
0,4,8,3,0.00847816, 2,1927| 5764
0,4,9,3,0.00852895, 2,1927| 5764
0,5,0,3,0.00845695, 2,1911| 5650
0,5,1,3,0.00874519, 2,1911| 5650
0,5,2,3,0.00896096, 2,1911| 5650
0,5,3,3,0.00889874, 2,1911| 5650
0,5,4,3,0.00871372, 2,1911| 5650
0,5,5,3,0.00886655, 2,1911| 5650
0,5,6,3,0.00945973, 2,1911| 5650
0,5,7,3,0.00951123, 2,1911| 5650
0,5,8,3,0.0092957, 2,1911| 5650
0,5,9,3,0.00951672, 2,1911| 5650
0,6,0,3,0.0092113, 4,1927| 5819
0,6,1,3,0.0097003, 4,1927| 5819
0,6,2,3,0.00902963, 4,1927| 5819
0,6,3,3,0.00871348, 4,1927| 5819
0,6,4,3,0.008847, 4,1927| 5819
0,6,5,3,0.0128491, 4,1927| 5819
0,6,6,3,0.00916338, 4,1927| 5819
0,6,7,3,0.0104439, 4,1927| 5819
0,6,8,3,0.0095036, 4,1927| 5819
0,6,9,3,0.0111501, 4,1927| 5819
0,7,0,3,0.00888681, 3,1916| 5731
0,7,1,3,0.00866699, 3,1916| 5731
0,7,2,3,0.00881004, 3,1916| 5731
0,7,3,3,0.00858736, 3,1916| 5731
0,7,4,3,0.00899196, 3,1916| 5731
0,7,5,3,0.00871563, 3,1916| 5731
0,7,6,3,0.00879407, 3,1916| 5731
0,7,7,3,0.00885272, 3,1916| 5731
0,7,8,3,0.00853777, 3,1916| 5731
0,7,9,3,0.00862288, 3,1916| 5731
0,8,0,3,0.0086143, 4,1916| 5863
0,8,1,3,0.00889134, 4,1916| 5863
0,8,2,3,0.0101233, 4,1916| 5863
0,8,3,3,0.0122287, 4,1916| 5863
0,8,4,3,0.0119269, 4,1916| 5863
0,8,5,3,0.0111098, 4,1916| 5863
0,8,6,3,0.0137248, 4,1916| 5863
0,8,7,3,0.0136669, 4,1916| 5863
0,8,8,3,0.0113328, 4,1916| 5863
0,8,9,3,0.010334, 4,1916| 5863
0,9,0,3,0.00931907, 3,1932| 5916
0,9,1,3,0.00882816, 3,1932| 5916
0,9,2,3,0.00898767, 3,1932| 5916
0,9,3,3,0.00922465, 3,1932| 5916
0,9,4,3,0.00870919, 3,1932| 5916
0,9,5,3,0.00872731, 3,1932| 5916
0,9,6,3,0.00896072, 3,1932| 5916
0,9,7,3,0.0085001, 3,1932| 5916
0,9,8,3,0.008605, 3,1932| 5916
0,9,9,3,0.00853229, 3,1932| 5916
1,0,0,3,0.00998783, 5,2468| 8638
1,0,1,3,0.0124559, 5,2468| 8638
1,0,2,3,0.0134165, 5,2468| 8638
1,0,3,3,0.0157056, 5,2468| 8638
1,0,4,3,0.0146413, 5,2468| 8638
1,0,5,3,0.0156085, 5,2468| 8638
1,0,6,3,0.0149167, 5,2468| 8638
1,0,7,3,0.01826, 5,2468| 8638
1,0,8,3,0.0205929, 5,2468| 8638
1,0,9,3,0.0180478, 5,2468| 8638
1,1,0,3,0.018544, 4,2465| 8620
1,1,1,3,0.0177002, 4,2465| 8620
1,1,2,3,0.014673, 4,2465| 8620
1,1,3,3,0.0122211, 4,2465| 8620
1,1,4,3,0.0158098, 4,2465| 8620
1,1,5,3,0.0172031, 4,2465| 8620
1,1,6,3,0.011904, 4,2465| 8620
1,1,7,3,0.0140646, 4,2465| 8620
1,1,8,3,0.0158203, 4,2465| 8620
1,1,9,3,0.0133164, 4,2465| 8620
1,2,0,3,0.0122123, 5,2463| 8666
1,2,1,3,0.0148711, 5,2463| 8666
1,2,2,3,0.00957942, 5,2463| 8666
1,2,3,3,0.00950432, 5,2463| 8666
1,2,4,3,0.0100658, 5,2463| 8666
1,2,5,3,0.0145268, 5,2463| 8666
1,2,6,3,0.00969243, 5,2463| 8666
1,2,7,3,0.0104339, 5,2463| 8666
1,2,8,3,0.0142713, 5,2463| 8666
1,2,9,3,0.0129192, 5,2463| 8666
1,3,0,3,0.0173569, 5,2457| 8667
1,3,1,3,0.015269, 5,2457| 8667
1,3,2,3,0.0125854, 5,2457| 8667
1,3,3,3,0.015871, 5,2457| 8667
1,3,4,3,0.0105264, 5,2457| 8667
1,3,5,3,0.0099225, 5,2457| 8667
1,3,6,3,0.00988007, 5,2457| 8667
1,3,7,3,0.0098722, 5,2457| 8667
1,3,8,3,0.0102232, 5,2457| 8667
1,3,9,3,0.00998616, 5,2457| 8667
1,4,0,3,0.00982332, 3,2472| 8593
1,4,1,3,0.00974107, 3,2472| 8593
1,4,2,3,0.0097096, 3,2472| 8593
1,4,3,3,0.00967216, 3,2472| 8593
1,4,4,3,0.0097208, 3,2472| 8593
1,4,5,3,0.0100002, 3,2472| 8593
1,4,6,3,0.0100026, 3,2472| 8593
1,4,7,3,0.0171797, 3,2472| 8593
1,4,8,3,0.0146818, 3,2472| 8593
1,4,9,3,0.0171037, 3,2472| 8593
1,5,0,3,0.0114913, 4,2472| 8599
1,5,1,3,0.00997257, 4,2472| 8599
1,5,2,3,0.00981355, 4,2472| 8599
1,5,3,3,0.00981903, 4,2472| 8599
1,5,4,3,0.00993991, 4,2472| 8599
1,5,5,3,0.00998616, 4,2472| 8599
1,5,6,3,0.0101426, 4,2472| 8599
1,5,7,3,0.00980759, 4,2472| 8599
1,5,8,3,0.00977945, 4,2472| 8599
1,5,9,3,0.00967097, 4,2472| 8599
1,6,0,3,0.00963116, 4,2456| 8689
1,6,1,3,0.0096848, 4,2456| 8689
1,6,2,3,0.0110006, 4,2456| 8689
