graph_id,run,k,config_id,c_args,runtime_ms,cycles,paths
1,3,12,4,"2 5 5",1.21823, 18245,3992| 108944
2,3,12,4,"2 5 5",1.21905, 18805,4006| 111540
3,3,12,4,"2 5 5",1.28818, 22607,4036| 114870
4,3,12,4,"2 5 5",0.994878, 10309,3858| 92390
5,3,12,4,"2 5 5",1.10309, 14005,3932| 101424
6,3,12,4,"2 5 5",1.21787, 15936,4062| 108616
7,3,12,4,"2 5 5",1.01917, 13111,3856| 96538
8,3,12,4,"2 5 5",1.26205, 22332,3954| 113512
9,3,12,4,"2 5 5",1.20257, 18871,3954| 109728
0,4,12,4,"2 5 5",1.06174, 13248,3876| 97742
1,4,12,4,"2 5 5",1.21589, 18245,3992| 108944
2,4,12,4,"2 5 5",1.2254, 18805,4006| 111540
3,4,12,4,"2 5 5",1.28896, 22607,4036| 114870
4,4,12,4,"2 5 5",0.997881, 10309,3858| 92390
5,4,12,4,"2 5 5",1.10469, 14005,3932| 101424
6,4,12,4,"2 5 5",1.22038, 15936,4062| 108616
7,4,12,4,"2 5 5",1.0243, 13111,3856| 96538
8,4,12,4,"2 5 5",1.26924, 22332,3954| 113512
9,4,12,4,"2 5 5",1.202, 18871,3954| 109728
0,5,12,4,"2 5 5",1.06628, 13248,3876| 97742
1,5,12,4,"2 5 5",1.21271, 18245,3992| 108944
2,5,12,4,"2 5 5",1.22378, 18805,4006| 111540
3,5,12,4,"2 5 5",1.29099, 22607,4036| 114870
4,5,12,4,"2 5 5",0.997772, 10309,3858| 92390
5,5,12,4,"2 5 5",1.10638, 14005,3932| 101424
6,5,12,4,"2 5 5",1.22354, 15936,4062| 108616
7,5,12,4,"2 5 5",1.02393, 13111,3856| 96538
8,5,12,4,"2 5 5",1.26318, 22332,3954| 113512
9,5,12,4,"2 5 5",1.20586, 18871,3954| 109728
0,6,12,4,"2 5 5",1.06254, 13248,3876| 97742
1,6,12,4,"2 5 5",1.21294, 18245,3992| 108944
2,6,12,4,"2 5 5",1.22149, 18805,4006| 111540
3,6,12,4,"2 5 5",1.28759, 22607,4036| 114870
4,6,12,4,"2 5 5",0.996211, 10309,3858| 92390
5,6,12,4,"2 5 5",1.10883, 14005,3932| 101424
6,6,12,4,"2 5 5",1.22578, 15936,4062| 108616
7,6,12,4,"2 5 5",1.02622, 13111,3856| 96538
8,6,12,4,"2 5 5",1.26211, 22332,3954| 113512
9,6,12,4,"2 5 5",1.20068, 18871,3954| 109728
0,7,12,4,"2 5 5",1.05977, 13248,3876| 97742
1,7,12,4,"2 5 5",1.21083, 18245,3992| 108944
2,7,12,4,"2 5 5",1.24233, 18805,4006| 111540
3,7,12,4,"2 5 5",1.2568, 22607,4036| 114870
4,7,12,4,"2 5 5",0.992512, 10309,3858| 92390
5,7,12,4,"2 5 5",1.09896, 14005,3932| 101424
6,7,12,4,"2 5 5",1.218, 15936,4062| 108616
7,7,12,4,"2 5 5",1.02211, 13111,3856| 96538
8,7,12,4,"2 5 5",1.25751, 22332,3954| 113512
9,7,12,4,"2 5 5",1.20298, 18871,3954| 109728
0,8,12,4,"2 5 5",1.06651, 13248,3876| 97742
1,8,12,4,"2 5 5",1.21254, 18245,3992| 108944
2,8,12,4,"2 5 5",1.22402, 18805,4006| 111540
3,8,12,4,"2 5 5",1.28766, 22607,4036| 114870
4,8,12,4,"2 5 5",0.997478, 10309,3858| 92390
5,8,12,4,"2 5 5",1.10447, 14005,3932| 101424
6,8,12,4,"2 5 5",1.2117, 15936,4062| 108616
7,8,12,4,"2 5 5",1.02052, 13111,3856| 96538
8,8,12,4,"2 5 5",1.25644, 22332,3954| 113512
9,8,12,4,"2 5 5",1.2001, 18871,3954| 109728
0,9,12,4,"2 5 5",1.06467, 13248,3876| 97742
1,9,12,4,"2 5 5",1.21409, 18245,3992| 108944
2,9,12,4,"2 5 5",1.22154, 18805,4006| 111540
3,9,12,4,"2 5 5",1.28533, 22607,4036| 114870
4,9,12,4,"2 5 5",0.999567, 10309,3858| 92390
5,9,12,4,"2 5 5",1.11165, 14005,3932| 101424
6,9,12,4,"2 5 5",1.22756, 15936,4062| 108616
7,9,12,4,"2 5 5",1.02264, 13111,3856| 96538
8,9,12,4,"2 5 5",1.2702, 22332,3954| 113512
9,9,12,4,"2 5 5",1.20166, 18871,3954| 109728
0,0,12,5,"1 5 6",0.568274, 13248,1310| 95176| 364672
1,0,12,5,"1 5 6",0.668261, 18245,1348| 106300| 415928
2,0,12,5,"1 5 6",0.680854, 18805,1326| 108860| 426532
3,0,12,5,"1 5 6",0.708857, 22607,1322| 112156| 444446
4,0,12,5,"1 5 6",0.547066, 10309,1352| 89884| 339084
5,0,12,5,"1 5 6",0.608265, 14005,1352| 98844| 379510
6,0,12,5,"1 5 6",0.652655, 15936,1342| 105896| 410002
7,0,12,5,"1 5 6",0.56639, 13111,1330| 94012| 360374
8,0,12,5,"1 5 6",0.716838, 22332,1318| 110876| 440724
9,0,12,5,"1 5 6",0.657473, 18871,1308| 107082| 419640
0,1,12,5,"1 5 6",0.573702, 13248,1310| 95176| 364672
1,1,12,5,"1 5 6",0.671159, 18245,1348| 106300| 415928
2,1,12,5,"1 5 6",0.682404, 18805,1326| 108860| 426532
3,1,12,5,"1 5 6",0.708846, 22607,1322| 112156| 444446
4,1,12,5,"1 5 6",0.545774, 10309,1352| 89884| 339084
5,1,12,5,"1 5 6",0.608221, 14005,1352| 98844| 379510
6,1,12,5,"1 5 6",0.653184, 15936,1342| 105896| 410002
7,1,12,5,"1 5 6",0.567878, 13111,1330| 94012| 360374
8,1,12,5,"1 5 6",0.715677, 22332,1318| 110876| 440724
9,1,12,5,"1 5 6",0.657445, 18871,1308| 107082| 419640
0,2,12,5,"1 5 6",0.571056, 13248,1310| 95176| 364672
1,2,12,5,"1 5 6",0.667857, 18245,1348| 106300| 415928
2,2,12,5,"1 5 6",0.678052, 18805,1326| 108860| 426532
3,2,12,5,"1 5 6",0.709778, 22607,1322| 112156| 444446
4,2,12,5,"1 5 6",0.546818, 10309,1352| 89884| 339084
5,2,12,5,"1 5 6",0.611693, 14005,1352| 98844| 379510
6,2,12,5,"1 5 6",0.653058, 15936,1342| 105896| 410002
7,2,12,5,"1 5 6",0.568785, 13111,1330| 94012| 360374
8,2,12,5,"1 5 6",0.707344, 22332,1318| 110876| 440724
9,2,12,5,"1 5 6",0.658822, 18871,1308| 107082| 419640
0,3,12,5,"1 5 6",0.573862, 13248,1310| 95176| 364672
1,3,12,5,"1 5 6",0.670504, 18245,1348| 106300| 415928
2,3,12,5,"1 5 6",0.674944, 18805,1326| 108860| 426532
3,3,12,5,"1 5 6",0.716073, 22607,1322| 112156| 444446
4,3,12,5,"1 5 6",0.546713, 10309,1352| 89884| 339084
5,3,12,5,"1 5 6",0.613348, 14005,1352| 98844| 379510
6,3,12,5,"1 5 6",0.653106, 15936,1342| 105896| 410002
7,3,12,5,"1 5 6",0.566703, 13111,1330| 94012| 360374
8,3,12,5,"1 5 6",0.709038, 22332,1318| 110876| 440724
9,3,12,5,"1 5 6",0.657766, 18871,1308| 107082| 419640
0,4,12,5,"1 5 6",0.572033, 13248,1310| 95176| 364672
1,4,12,5,"1 5 6",0.66944, 18245,1348| 106300| 415928
