graph_id,run,k,config_id,c_args,runtime_ms,cycles,paths
1,1,12,4,"7 5",0.469124, 18245,908902| 1013854
2,1,12,4,"7 5",0.478205, 18805,935044| 1042578
3,1,12,4,"7 5",0.504501, 22607,993920| 1104754
4,1,12,4,"7 5",0.354958, 10309,698632| 787164
5,1,12,4,"7 5",0.422842, 14005,808084| 905576
6,1,12,4,"7 5",0.448467, 15936,882820| 987374
7,1,12,4,"7 5",0.393437, 13111,761822| 854504
8,1,12,4,"7 5",0.50011, 22332,986764| 1096322
9,1,12,4,"7 5",0.46861, 18871,921220| 1026994
0,2,12,4,"7 5",0.389767, 13248,771770| 865636
1,2,12,4,"7 5",0.465372, 18245,908902| 1013854
2,2,12,4,"7 5",0.47987, 18805,935044| 1042578
3,2,12,4,"7 5",0.50932, 22607,993920| 1104754
4,2,12,4,"7 5",0.354508, 10309,698632| 787164
5,2,12,4,"7 5",0.409728, 14005,808084| 905576
6,2,12,4,"7 5",0.444621, 15936,882820| 987374
7,2,12,4,"7 5",0.389714, 13111,761822| 854504
8,2,12,4,"7 5",0.517263, 22332,986764| 1096322
9,2,12,4,"7 5",0.476138, 18871,921220| 1026994
0,3,12,4,"7 5",0.399357, 13248,771770| 865636
1,3,12,4,"7 5",0.470979, 18245,908902| 1013854
2,3,12,4,"7 5",0.478342, 18805,935044| 1042578
3,3,12,4,"7 5",0.516076, 22607,993920| 1104754
4,3,12,4,"7 5",0.357158, 10309,698632| 787164
5,3,12,4,"7 5",0.419715, 14005,808084| 905576
6,3,12,4,"7 5",0.444209, 15936,882820| 987374
7,3,12,4,"7 5",0.391871, 13111,761822| 854504
8,3,12,4,"7 5",0.516503, 22332,986764| 1096322
9,3,12,4,"7 5",0.474206, 18871,921220| 1026994
0,4,12,4,"7 5",0.394691, 13248,771770| 865636
1,4,12,4,"7 5",0.472048, 18245,908902| 1013854
2,4,12,4,"7 5",0.472701, 18805,935044| 1042578
3,4,12,4,"7 5",0.506841, 22607,993920| 1104754
4,4,12,4,"7 5",0.364113, 10309,698632| 787164
5,4,12,4,"7 5",0.416801, 14005,808084| 905576
6,4,12,4,"7 5",0.445305, 15936,882820| 987374
7,4,12,4,"7 5",0.396079, 13111,761822| 854504
8,4,12,4,"7 5",0.51483, 22332,986764| 1096322
9,4,12,4,"7 5",0.470658, 18871,921220| 1026994
0,5,12,4,"7 5",0.391107, 13248,771770| 865636
1,5,12,4,"7 5",0.468725, 18245,908902| 1013854
2,5,12,4,"7 5",0.475746, 18805,935044| 1042578
3,5,12,4,"7 5",0.506254, 22607,993920| 1104754
4,5,12,4,"7 5",0.355316, 10309,698632| 787164
5,5,12,4,"7 5",0.418754, 14005,808084| 905576
6,5,12,4,"7 5",0.484822, 15936,882820| 987374
7,5,12,4,"7 5",0.3939, 13111,761822| 854504
8,5,12,4,"7 5",0.51754, 22332,986764| 1096322
9,5,12,4,"7 5",0.476233, 18871,921220| 1026994
0,6,12,4,"7 5",0.395579, 13248,771770| 865636
1,6,12,4,"7 5",0.472815, 18245,908902| 1013854
2,6,12,4,"7 5",0.483412, 18805,935044| 1042578
3,6,12,4,"7 5",0.51785, 22607,993920| 1104754
4,6,12,4,"7 5",0.355198, 10309,698632| 787164
5,6,12,4,"7 5",0.418035, 14005,808084| 905576
6,6,12,4,"7 5",0.454943, 15936,882820| 987374
7,6,12,4,"7 5",0.394258, 13111,761822| 854504
8,6,12,4,"7 5",0.512023, 22332,986764| 1096322
9,6,12,4,"7 5",0.470619, 18871,921220| 1026994
0,7,12,4,"7 5",0.392445, 13248,771770| 865636
1,7,12,4,"7 5",0.463377, 18245,908902| 1013854
