graph_id,run,k,join,runtime_ms,cycles,paths
6,4,5,4,0.0407577, 22,1342| 5404
7,4,5,4,0.0397735, 16,1330| 5186
8,4,5,4,0.0399308, 17,1318| 5272
9,4,5,4,0.0336678, 27,1308| 5262
0,5,5,4,0.0343499, 22,1310| 5186
1,5,5,4,0.0351319, 30,1348| 5340
2,5,5,4,0.034543, 21,1326| 5332
3,5,5,4,0.0343289, 13,1322| 5358
4,5,5,4,0.0363116, 18,1352| 5210
5,5,5,4,0.0407379, 21,1352| 5284
6,5,5,4,0.0389349, 22,1342| 5404
7,5,5,4,0.040015, 16,1330| 5186
8,5,5,4,0.0403049, 17,1318| 5272
9,5,5,4,0.038681, 27,1308| 5262
0,6,5,4,0.0368435, 22,1310| 5186
1,6,5,4,0.0443254, 30,1348| 5340
2,6,5,4,0.0378048, 21,1326| 5332
3,6,5,4,0.0397422, 13,1322| 5358
4,6,5,4,0.0344748, 18,1352| 5210
5,6,5,4,0.035702, 21,1352| 5284
6,6,5,4,0.0405121, 22,1342| 5404
7,6,5,4,0.0364339, 16,1330| 5186
8,6,5,4,0.0439243, 17,1318| 5272
9,6,5,4,0.0382092, 27,1308| 5262
0,7,5,4,0.0359764, 22,1310| 5186
1,7,5,4,0.0351028, 30,1348| 5340
2,7,5,4,0.0342336, 21,1326| 5332
3,7,5,4,0.0342515, 13,1322| 5358
4,7,5,4,0.0338817, 18,1352| 5210
5,7,5,4,0.0347309, 21,1352| 5284
6,7,5,4,0.0374343, 22,1342| 5404
7,7,5,4,0.0392468, 16,1330| 5186
8,7,5,4,0.0392032, 17,1318| 5272
9,7,5,4,0.0344243, 27,1308| 5262
0,8,5,4,0.0328593, 22,1310| 5186
1,8,5,4,0.0353296, 30,1348| 5340
2,8,5,4,0.0342355, 21,1326| 5332
3,8,5,4,0.0339956, 13,1322| 5358
4,8,5,4,0.0339096, 18,1352| 5210
5,8,5,4,0.0370927, 21,1352| 5284
6,8,5,4,0.039669, 22,1342| 5404
7,8,5,4,0.0356412, 16,1330| 5186
8,8,5,4,0.0356984, 17,1318| 5272
9,8,5,4,0.0351911, 27,1308| 5262
0,9,5,4,0.0334303, 22,1310| 5186
1,9,5,4,0.0364249, 30,1348| 5340
2,9,5,4,0.0363944, 21,1326| 5332
3,9,5,4,0.0362377, 13,1322| 5358
4,9,5,4,0.0363331, 18,1352| 5210
5,9,5,4,0.0376511, 21,1352| 5284
6,9,5,4,0.0380993, 22,1342| 5404
7,9,5,4,0.0370159, 16,1330| 5186
8,9,5,4,0.0361288, 17,1318| 5272
9,9,5,4,0.0355856, 27,1308| 5262
0,0,6,2,0.0101464, 41,11242
1,0,6,2,0.0102246, 77,11910
2,0,6,2,0.0100045, 42,12106
3,0,6,2,0.00987244, 69,12222
4,0,6,2,0.00910997, 40,11044
5,0,6,2,0.00937009, 57,11572
6,0,6,2,0.00955129, 46,12124
7,0,6,2,0.00930715, 48,11102
8,0,6,2,0.00926995, 67,11906
9,0,6,2,0.00912023, 51,11884
0,1,6,2,0.00873065, 41,11242
1,1,6,2,0.00917745, 77,11910
2,1,6,2,0.0091598, 42,12106
3,1,6,2,0.0096271, 69,12222
4,1,6,2,0.0118587, 40,11044
5,1,6,2,0.00961018, 57,11572
